"IDPOP","TIME_SEQ","SEQ_COUNT"
15664,40.0849315068493,11
90813,35.3013698630137,11
113018,36.8547945205479,11
140676,36.9506849315068,11
143803,39.3616438356164,11
91395,37.986301369863,11
11030,38.627397260274,11
122583,38.572602739726,11
10636,38.9753424657534,11
94450,37.9041095890411,11
11703,39.1342465753425,11
19057,40.041095890411,11
13562,40.2465753424658,11
130861,39.7287671232877,11
16977,39.5561643835616,11
13664,37.8383561643836,11
2474,36.0767123287671,11
1040,36.4794520547945,11
13321,39.3616438356164,11
118005,40.2246575342466,11
1,36.0219178082192,11
1493,35.4328767123288,11
83191,38.8547945205479,11
9476,35.6027397260274,11
10268,36.386301369863,11
13308,39.8328767123288,11
12806,38.5232876712329,11
132186,40.8794520547945,11
51867,39.3698630136986,11
84327,38.1315068493151,11
657,38.8876712328767,11
108692,35.0438356164384,11
121234,36.4109589041096,11
17830,35.2931506849315,11
80098,35.441095890411,11
878,37.3780821917808,11
116736,35.2767123287671,11
4229,35.9205479452055,11
15356,38.0575342465753,11
128299,38.5945205479452,11
80898,36.8,11
16817,36.841095890411,11
111105,39.6465753424658,11
19754,37.4575342465753,11
134160,38.0465753424658,11
16851,38.2301369863014,11
97021,35.8575342465753,11
118125,37.1506849315069,11
91444,36.427397260274,11
145269,39.1013698630137,11
116370,35.7205479452055,11
3092,35.1972602739726,11
1029,38.3780821917808,11
9528,40.9753424657534,11
102680,35.0301369863014,11
2846,37.9287671232877,11
100392,38.9369863013699,11
95043,35.5150684931507,11
116229,36.9041095890411,11
3038,35.7123287671233,11
87389,37.7068493150685,11
5064,38.5479452054795,11
90091,39.3232876712329,11
13959,36.5150684931507,11
14821,40.3205479452055,11
21717,37.841095890411,11
11221,39.8438356164384,11
17415,37.0794520547945,11
120098,37.4219178082192,11
11397,37.386301369863,11
6576,38.4054794520548,11
6914,37.4602739726027,11
13280,38.627397260274,11
7540,38.1534246575342,11
12646,39.2876712328767,11
3903,40.4986301369863,11
4252,38.4602739726027,11
12035,40.8630136986301,11
6034,38.5890410958904,11
115802,37.7150684931507,11
36237,38.3123287671233,11
120183,40.8684931506849,11
12108,37.4109589041096,11
130684,36.0301369863014,11
17244,37.8356164383562,11
2810,39.8,11
4804,37.1643835616438,11
127489,37.7068493150685,11
14478,39.9698630136986,11
3126,37.213698630137,11
59068,40.3424657534247,11
82265,39.6602739726027,11
131456,36.2,11
108082,38.0054794520548,11
18037,38.172602739726,11
11236,36.8164383561644,11
2692,36.2630136986301,11
97258,39.5123287671233,11
4276,35.3534246575342,11
18547,38.6356164383562,11
7720,35.6356164383562,11
3516,35.6739726027397,11
14272,39.3671232876712,11
2465,35.4958904109589,11
6521,39.558904109589,11
17482,37.3452054794521,11
120004,35.7013698630137,11
110963,39.0164383561644,11
109517,40.1424657534247,11
122459,40.3315068493151,11
114956,38.572602739726,11
88199,40.5917808219178,11
129845,38.5095890410959,11
12379,38.4054794520548,11
94175,37.7369863013699,11
98070,37.7397260273973,11
134721,38.641095890411,11
19728,35.1205479452055,11
3328,40.3945205479452,11
90991,36.827397260274,11
10989,39.6493150684932,11
9373,37.3287671232877,11
120322,40.3561643835616,11
107344,38.3945205479452,11
106328,39.2438356164384,11
17218,36.0356164383562,11
16963,35.9561643835616,11
111082,40.8493150684931,11
137926,39.6794520547945,11
100847,37.2383561643836,11
142105,39.5068493150685,11
4348,40.9342465753425,11
3810,36.3917808219178,11
90266,36.4191780821918,11
19561,40.5972602739726,11
15486,35.9890410958904,11
127309,36.958904109589,11
17124,39.4301369863014,11
130048,37.3041095890411,11
