"time","r0"
657,2
776,1
832,0
844,1
870,0
889,4
900,0
950,2
1035,5
1177,0
1225,0
1376,0
1378,2
1396,0
1418,0
1445,1
1457,0
1524,11
1553,0
1592,0
1600,2
1603,0
1690,3
1692,8
1694,1
1711,1
1713,0
1718,1
1739,0
1758,0
1762,0
1783,1
1808,3
1813,0
1824,0
1824,0
1857,0
1865,9
1918,5
1925,2
1931,2
1935,0
1945,2
1953,0
1955,1
1967,2
1977,0
1984,0
1992,0
2020,0
2024,0
2032,0
2033,11
2044,0
2049,0
2062,0
2073,6
2075,0
2076,2
2078,1
2093,9
2096,6
2097,0
2108,1
2114,0
2115,0
2137,4
2148,1
2151,1
2163,0
2184,1
2203,0
2206,0
2207,0
2221,0
2222,2
2227,0
2236,1
2237,0
2237,0
2237,4
2239,6
2253,0
2259,0
2268,0
2270,0
2282,1
2286,0
2287,0
2296,0
2305,0
2307,2
2317,1
2320,0
2321,0
2330,1
2334,2
2342,0
2342,1
2352,2
2353,0
2358,0
2370,2
2370,0
2380,0
2380,2
2389,0
2400,0
2407,0
2412,0
2417,0
2418,1
2418,2
2423,2
2427,0
2429,2
2436,1
2438,12
2440,3
2447,1
2451,0
2463,3
2464,11
2466,0
2474,1
2484,0
2485,2
2495,0
2500,0
2513,1
2513,2
2517,15
2526,2
2540,2
2542,1
2542,0
2542,1
2546,0
2552,0
2556,1
2559,2
2563,1
2567,1
2586,1
2603,0
2608,0
2613,0
2613,0
2615,0
2622,8
2630,0
2640,0
2642,1
2644,1
2644,0
2645,2
2645,0
2651,2
2659,2
2660,1
2661,1
2662,0
2662,2
2663,1
2664,2
2665,1
2668,1
2683,1
2686,0
2686,0
2699,0
2702,0
2703,0
2703,2
2704,1
2705,2
2707,2
2708,3
2710,3
2710,1
2714,3
2716,0
2726,1
2728,18
2728,0
2731,1
2732,0
2735,0
2739,5
2745,1
2748,0
2754,0
2755,1
2758,0
2759,1
2762,1
2765,0
2766,2
2767,0
2768,2
2769,0
2780,1
2786,0
2786,0
2787,0
2788,0
2790,4
2791,1
2792,1
2793,2
2797,0
2797,16
2802,0
2807,1
2812,0
2813,1
2818,12
2824,0
2830,0
2836,0
2842,1
2844,0
2845,1
2857,1
2857,0
2866,1
2867,1
2867,0
2867,0
2870,0
2871,3
2885,0
2886,0
2886,0
2891,1
2892,0
2896,1
2898,0
2900,0
2900,2
2901,0
2905,1
2907,1
2908,2
2912,0
2913,1
2920,3
2927,3
2929,0
2931,0
2934,0
2935,0
2937,2
2943,0
2946,0
2947,1
2949,1
2949,0
2950,0
2952,1
2954,15
2954,0
2956,1
2956,0
2960,1
2968,1
2973,1
2978,2
2979,0
2981,0
2983,1
2985,0
2986,0
2986,5
2986,6
2989,0
3001,3
3002,2
3002,1
3003,2
3008,3
3016,0
3017,0
3020,0
3021,0
3022,0
3023,0
3025,3
3029,2
3030,0
3031,20
3032,2
3036,1
3037,1
3041,1
3042,6
3047,1
3049,0
3049,0
3054,0
3055,1
3061,2
3065,0
3066,0
3067,1
3079,0
3083,1
3085,1
3086,1
3088,0
3091,1
3096,0
3099,0
3100,0
3102,0
3102,5
3104,2
3108,0
3111,0
3125,4
3129,3
3129,0
3136,0
3137,0
3141,0
3150,0
3150,3
3152,2
3153,5
3153,0
3157,0
3157,1
3163,1
3164,2
3165,1
3166,5
3167,1
3168,0
3169,1
3170,0
3170,0
3173,0
3173,2
3175,1
3179,1
3180,0
3183,0
3184,2
3184,1
3185,1
3186,0
3187,0
3188,1
3190,1
3191,1
3191,1
3191,0
3192,0
3193,0
3193,0
3203,3
3206,0
3211,0
3216,12
3222,1
3223,2
3224,0
3226,0
3227,0
3229,0
3231,0
3232,0
3234,13
3235,0
3236,1
3241,0
3241,1
3243,5
3246,0
3248,0
3249,2
3251,0
3251,0
3252,1
3255,2
3255,4
3256,0
3257,0
3257,0
3258,1
3260,0
3260,0
3261,1
3262,0
3263,0
3263,2
3266,0
3268,0
3274,1
3275,10
3276,2
3277,2
3281,0
3281,0
3282,1
3285,9
3286,3
3287,1
3293,1
3293,1
3294,0
3295,1
3296,0
3296,1
3296,0
3297,2
3299,2
3300,1
3302,0
3302,0
3303,0
3303,0
3304,2
3304,0
3305,0
3307,0
3307,1
3307,0
3308,2
3311,3
3314,0
3316,1
3316,0
3316,0
3324,0
3325,3
3326,2
3327,0
3330,1
3331,3
3333,0
3334,2
3335,1
3335,1
3335,0
3336,0
3336,0
3338,0
3341,0
3341,0
3342,2
3345,0
3346,0
3349,3
3350,5
3353,12
3354,0
3355,1
3355,2
3356,0
3356,1
3356,18
3356,0
3359,3
3361,0
3361,0
3364,0
3365,2
3366,4
3368,1
3373,1
3374,0
3374,0
3375,12
3376,0
3376,0
3377,0
3380,7
3383,0
3383,0
3385,2
3388,0
3389,1
3391,1
3392,1
3392,0
3393,0
3393,0
3393,2
3394,0
3396,4
3397,0
3397,1
3399,3
3399,1
3403,5
3405,0
3405,0
3405,0
3405,0
3407,2
3407,13
3408,0
3408,5
3412,2
3413,10
3415,0
3416,0
3417,2
3419,0
3420,0
3421,1
3422,6
3422,0
3426,2
3430,1
3432,0
3432,0
3433,4
3433,1
3434,7
3436,10
3438,4
3438,0
3445,0
3445,0
3445,6
3447,1
3448,0
3449,2
3451,2
3454,4
3456,1
3459,0
3460,13
3461,2
3462,0
3464,1
3465,7
3465,1
3474,0
3475,0
3475,2
3477,0
3481,3
3481,4
3484,1
3484,0
3485,0
3488,0
3489,1
3490,1
3491,5
3493,10
3496,0
3497,1
3497,4
3497,1
3498,2
3499,4
3499,0
3502,10
3502,0
3502,3
3503,1
3504,8
3504,1
3505,0
3505,0
3505,1
3506,4
3506,1
3506,9
3507,1
3507,2
3508,0
3511,2
3511,0
3513,2
3515,1
3516,0
3516,3
3517,0
3517,7
3518,5
3519,2
3521,1
3521,0
3524,3
3525,1
3528,0
3529,0
3531,0
3531,0
3532,0
3537,1
3538,0
3539,0
3540,0
3541,1
3541,0
3542,0
3543,7
3543,1
3544,0
3545,3
3548,1
3548,2
3548,2
3549,2
3549,1
3558,0
3562,6
3566,2
3568,2
3568,0
3570,1
3574,1
3575,2
3579,10
3579,1
3579,2
3581,0
3582,0
3582,1
3583,1
3583,1
3585,0
3587,0
3587,1
3590,2
3592,8
3592,6
3593,1
3595,2
3597,3
3598,0
3599,1
3599,0
3600,0
3601,12
3602,1
3602,7
3604,0
3604,0
3605,3
3605,5
3606,0
3608,0
3612,3
3612,0
3612,2
3612,1
3613,0
3613,1
3613,0
3613,14
3614,4
3614,3
3616,0
3618,0
3618,3
3620,0
3621,1
3622,0
3622,1
3623,3
3624,0
3624,0
3625,1
3625,0
3627,1
3627,0
3627,1
3629,3
3630,4
3631,1
3633,1
3633,0
3634,0
3634,0
3636,1
3639,1
3639,0
3641,1
3641,1
3642,1
3644,0
3645,5
3648,0
3650,0
3651,1
3651,2
3653,2
3654,0
3656,2
3657,2
3659,4
3661,0
3661,8
3661,6
3662,2
3663,0
3663,0
3664,4
3665,0
3666,2
3666,1
3667,0
3667,2
3667,1
3668,0
3669,1
3670,0
3672,0
3672,0
3672,0
3672,1
3676,1
3678,0
3678,0
3681,4
3681,1
3682,6
3682,1
3683,2
3684,1
3686,1
3687,0
3688,1
3688,1
3688,0
3689,8
3689,5
3690,2
3691,1
3691,1
3691,1
3692,2
3692,4
3694,0
3694,0
3695,2
3697,0
3698,1
3698,0
3698,0
3700,2
3701,16
3701,1
3702,0
3703,8
3704,2
3704,0
3704,1
3705,1
3706,1
3707,0
3707,0
3708,3
3708,0
3708,4
3709,2
3713,1
3715,0
3716,0
3716,2
3716,2
3716,7
3718,2
3720,0
3722,8
3727,0
3728,0
3730,0
3730,1
3730,2
3732,7
3732,2
3732,0
3733,0
3733,0
3733,2
3733,1
3734,17
3737,2
3738,3
3739,1
3739,1
3741,0
3742,3
3744,2
3744,0
3744,0
3745,6
3745,3
3745,9
3747,0
3748,5
3749,0
3752,0
3752,0
3754,0
3755,2
3755,0
3756,0
3756,0
3757,0
3758,1
3761,0
3761,5
3763,0
3764,0
3765,1
3768,1
3768,0
3769,1
3769,3
3770,1
3770,3
3773,2
3773,1
3775,0
3775,0
3778,0
3779,0
3779,0
3779,3
3780,0
3780,0
3782,3
3782,1
3784,9
3785,5
3786,2
3787,4
3787,1
3788,13
3789,13
3791,0
3793,2
3793,1
3794,0
3794,0
3794,2
3794,0
3796,0
3797,0
3800,0
3800,8
3801,0
3801,1
3804,0
3804,0
3805,0
3806,0
3807,0
3808,1
3808,0
3809,3
3811,1
3814,0
3815,1
3816,2
3816,0
3816,2
3817,0
3818,1
3819,1
3820,1
3821,17
3822,2
3823,1
3824,0
3824,6
3825,2
3827,0
3827,23
3827,1
3827,0
3828,1
3828,0
3831,1
3832,1
3833,9
3834,0
3834,1
3835,0
3838,0
3838,1
3838,0
3839,0
3840,0
3841,1
3844,0
3844,3
3844,0
3845,1
3846,2
3846,0
3846,4
3847,1
3847,1
3848,0
3849,0
3850,1
3850,0
3851,7
3851,0
3852,1
3854,1
3854,0
3854,1
3854,10
3854,1
3855,1
3855,2
3857,2
3859,1
3860,1
3861,0
3862,0
3862,2
3864,2
3864,0
3865,0
3865,1
3866,0
3867,5
3867,0
3869,1
3871,6
3871,1
3872,0
3873,0
