"time","IDs","migrant"
1323,37252,"21"
1326,69770,"21"
1330,9437,"12"
1335,52016,"21"
1335,70942,"21"
1342,81669,"12"
1344,37643,"21"
1347,6557,"12"
1348,5997,"12"
1352,75586,"21"
1353,12885,"12"
1364,49062,"21"
1366,67225,"21"
1369,58702,"21"
1370,5209,"12"
1375,2318,"12"
1377,71953,"21"
1378,67940,"21"
1381,46266,"21"
1382,12308,"12"
1384,39307,"21"
1397,18386,"12"
1398,36783,"21"
1398,69425,"21"
1404,14941,"12"
1416,17960,"12"
1418,39179,"21"
1420,12140,"12"
1421,6337,"12"
1422,36710,"21"
1422,68012,"21"
1423,17078,"12"
1424,9653,"12"
1425,4765,"12"
1426,54398,"21"
1430,2872,"12"
1431,13274,"12"
1437,79495,"21"
1440,62685,"21"
1441,42996,"21"
1444,40604,"21"
1447,30845,"21"
1452,62083,"21"
1453,18766,"12"
1456,1149,"12"
1459,14602,"12"
1462,13298,"12"
1473,3139,"12"
1473,15826,"12"
1476,4628,"12"
1476,17500,"12"
1479,42538,"21"
1480,9568,"12"
1482,26459,"21"
1490,13200,"12"
1495,10916,"12"
1506,15799,"12"
1510,41888,"21"
1510,43517,"21"
1517,66656,"21"
1520,48827,"21"
1534,21913,"21"
1538,18656,"12"
1554,60898,"21"
1568,6804,"12"
1574,67675,"21"
1579,37774,"21"
1582,6410,"12"
1585,5507,"12"
1594,7384,"12"
1606,21990,"21"
1616,12722,"12"
1616,29485,"21"
1619,847,"12"
1624,76759,"21"
1633,8235,"12"
1637,156,"12"
1639,32000,"21"
1649,37322,"21"
1659,49710,"21"
1671,41161,"21"
1672,8394,"12"
1672,26402,"21"
1674,10589,"12"
1674,15961,"12"
1676,10884,"12"
1678,26445,"21"
1680,4371,"12"
1688,14455,"12"
1689,17473,"12"
1690,7992,"12"
1693,53838,"21"
1695,8407,"12"
1699,38335,"21"
1703,16175,"12"
1709,7037,"12"
1710,26,"12"
1711,3932,"12"
1712,1524,"12"
1717,71468,"21"
1718,12606,"12"
1725,18248,"12"
1726,17103,"12"
1727,50023,"21"
1728,37098,"21"
1729,53425,"21"
1731,64306,"21"
1735,36941,"21"
1741,4887,"12"
1742,5039,"12"
1746,33247,"21"
1754,67811,"21"
1755,18087,"12"
1762,28325,"21"
1765,12267,"12"
1767,19664,"12"
1770,2745,"12"
1772,19088,"12"
1774,64420,"21"
1777,17421,"12"
1778,5538,"12"
1785,6509,"12"
1786,3403,"12"
1790,33084,"21"
1794,78447,"21"
1798,34108,"21"
1801,44336,"21"
1801,81200,"21"
1803,17942,"12"
1805,15068,"12"
1820,19977,"12"
1821,42851,"21"
1829,10746,"12"
1830,6850,"12"
1831,70525,"21"
1833,41623,"21"
1838,10260,"12"
1838,22383,"21"
1839,10153,"12"
1844,64045,"21"
1846,39949,"21"
1853,24068,"21"
1856,48020,"21"
1860,8544,"12"
1863,26138,"21"
1872,937,"12"
1873,13253,"12"
1878,6711,"12"
1885,26017,"21"
1885,49415,"21"
1893,7949,"12"
1896,61180,"21"
1900,18814,"12"
1901,74668,"21"
1902,38981,"21"
1910,25321,"21"
1911,3181,"12"
1911,70817,"21"
1912,20005,"21"
1918,17394,"12"
1926,72734,"21"
1930,12792,"12"
1934,18179,"12"
1935,3442,"12"
1937,22152,"21"
1938,67366,"21"
1942,10542,"12"
1944,59932,"21"
1951,17296,"12"
1951,47048,"21"
1953,13393,"12"
1958,1064,"12"
1966,49583,"21"
1966,75854,"21"
1967,32148,"21"
1968,8485,"12"
1970,24888,"21"
1972,7566,"12"
1972,17824,"12"
1973,46745,"21"
1975,44700,"21"
1976,47986,"21"
1980,14921,"12"
1982,30004,"21"
1982,31010,"21"
1983,5982,"12"
1983,19416,"12"
1985,21689,"21"
2000,50234,"21"
2001,10611,"12"
2002,70486,"21"
2017,17842,"12"
2019,18903,"12"
2023,13534,"12"
2024,35667,"21"
2037,19428,"12"
2040,36179,"21"
2045,60076,"21"
2047,19648,"12"
2049,21050,"12"
2054,6874,"12"
2057,69002,"21"
2062,47701,"21"
2065,13264,"12"
2072,2612,"12"
2072,52948,"21"
2073,68730,"21"
2076,52010,"21"
2077,7908,"12"
2077,32783,"21"
2078,4672,"12"
2096,16494,"12"
2097,7065,"12"
2100,10318,"12"
2101,20871,"21"
2107,66929,"21"
2118,139,"12"
2123,76908,"21"
2130,30576,"21"
2131,1470,"12"
2131,44644,"21"
2136,77986,"21"
2139,81187,"21"
2142,34056,"21"
2143,9895,"12"
2143,72662,"21"
2147,2159,"12"
2149,81739,"21"
2150,4953,"12"
2158,15216,"12"
2160,59632,"21"
2161,37593,"21"
2168,80339,"21"
2170,12635,"12"
2172,18791,"12"
2172,72520,"21"
2173,16003,"12"
2177,38157,"21"
2181,9023,"12"
2184,10562,"12"
2199,23899,"21"
2200,33613,"21"
2201,8882,"12"
2205,70236,"21"
2206,40065,"21"
2209,54739,"21"
2209,73727,"21"
2218,1986,"12"
2220,13806,"12"
2220,24499,"21"
2220,45878,"21"
2223,15151,"12"
2224,40035,"21"
2224,55596,"21"
2229,13703,"12"
2232,18748,"12"
2246,62577,"21"
2249,71962,"21"
2251,34257,"21"
2256,50777,"21"
2269,81992,"12"
2274,77222,"21"
2275,1248,"12"
2280,73731,"21"
2281,62938,"21"
2283,32147,"21"
2287,61342,"21"
2300,31975,"21"
2303,15057,"12"
2303,39824,"21"
2304,25770,"21"
2311,16320,"12"
2311,71234,"21"
2313,3545,"12"
2317,12688,"12"
2321,12523,"12"
2330,37860,"21"
2331,15545,"12"
2335,16704,"12"
2336,16188,"12"
2339,5498,"12"
2343,16663,"12"
2347,34116,"21"
2352,6347,"12"
2357,3086,"12"
2358,12026,"12"
2358,81092,"21"
2360,80207,"21"
2363,15261,"12"
2375,38632,"21"
2377,59245,"21"
2378,64832,"21"
2379,29729,"21"
2379,43957,"21"
2386,610,"12"
2387,11466,"12"
2392,9748,"12"
2394,43537,"21"
2397,16455,"12"
2401,40823,"21"
2405,73460,"21"
2408,74756,"21"
2409,696,"12"
2409,18049,"12"
2413,30276,"21"
2413,77396,"21"
2421,20710,"21"
2422,36354,"21"
2433,16405,"12"
2434,17557,"12"
2442,62179,"21"
2462,62948,"21"
2464,3508,"12"
2465,19655,"12"
2469,10349,"12"
2470,11528,"12"
2474,2462,"12"
2489,29210,"21"
2490,12224,"12"
2491,56362,"21"
2492,46117,"21"
2496,14697,"12"
2501,3852,"12"
2501,3909,"12"
2537,46433,"21"
2539,49076,"21"
2539,57249,"21"
2545,3843,"12"
2545,21898,"21"
2548,6159,"12"
2551,56744,"21"
2556,14946,"12"
2560,5458,"12"
2561,55131,"21"
2562,19449,"12"
2569,21717,"21"
2570,51538,"21"
2572,19703,"12"
2576,56035,"21"
2579,79811,"21"
2581,63222,"21"
2587,13544,"12"
2592,3417,"12"
2592,11633,"12"
2595,47448,"21"
2596,9685,"12"
2606,32176,"21"
2606,41058,"21"
2608,4115,"12"
2611,21905,"21"
2615,14527,"12"
2624,1344,"12"
2625,36426,"21"
2625,41194,"21"
2626,80689,"21"
2627,53806,"21"
2638,46536,"21"
2639,72166,"21"
2652,71786,"21"
2659,11875,"12"
2675,8320,"12"
2679,36889,"21"
2687,64522,"21"
2700,70693,"21"
2701,37484,"21"
2707,19213,"12"
2714,7705,"12"
2715,41099,"21"
2717,60498,"21"
2724,67194,"21"
2724,72311,"21"
2730,8012,"12"
2737,11471,"12"
2745,9649,"12"
2748,11220,"12"
2750,7318,"12"
2758,26708,"21"
2760,44872,"21"
2762,23932,"21"
2781,58217,"21"
2782,57699,"21"
2785,5693,"12"
2793,2405,"12"
2793,14656,"12"
2795,6764,"12"
2798,26998,"21"
2801,14748,"12"
2808,19899,"12"
2808,81069,"21"
2813,56978,"21"
2819,44408,"21"
2821,20711,"21"
2828,70612,"21"
2829,79434,"21"
2832,27066,"21"
2834,15350,"12"
2836,30028,"21"
2839,30424,"21"
2842,77393,"21"
2843,581,"12"
2846,16673,"12"
2846,76119,"21"
2850,74436,"21"
2851,31771,"21"
2858,8150,"12"
2858,24050,"21"
2863,42498,"21"
2865,30506,"21"
2865,44998,"21"
2870,44054,"21"
2873,49857,"21"
2874,59686,"21"
2879,2099,"12"
2882,78558,"21"
2883,13038,"12"
2888,74932,"21"
2889,67030,"21"
2890,6813,"12"
2890,16864,"12"
2896,48026,"21"
2899,57848,"21"
2901,16022,"12"
2901,17627,"12"
2903,18460,"12"
2906,4730,"12"
2907,8148,"12"
2907,53467,"21"
2910,13185,"12"
2911,80916,"21"
2912,16694,"12"
2913,12319,"12"
2929,1339,"12"
2930,15368,"12"
2933,1839,"12"
2933,19578,"12"
2933,44075,"21"
2936,21768,"21"
2936,38776,"21"
2950,724,"12"
2950,14778,"12"
2952,13841,"12"
2952,39399,"21"
2956,52391,"21"
2959,15764,"12"
2967,69749,"21"
2973,82329,"21"
2979,29028,"21"
2980,78660,"21"
2987,67100,"21"
2990,81039,"21"
2992,7985,"12"
2992,17668,"12"
2994,47881,"21"
3001,3088,"12"
3001,56499,"21"
3002,8409,"12"
3002,19617,"12"
3009,16617,"12"
3019,3163,"12"
3022,12353,"12"
3026,59999,"21"
3029,4947,"12"
3042,15154,"12"
3043,5214,"12"
3047,3707,"12"
3056,71478,"21"
3059,69370,"21"
3067,43586,"21"
3068,61934,"21"
3069,26430,"21"
3075,14601,"12"
3075,21626,"21"
3078,48919,"21"
3082,16828,"12"
3082,72850,"21"
3083,650,"12"
3092,117,"12"
3092,6359,"12"
3095,7427,"12"
3098,9006,"12"
3098,14286,"12"
3103,25102,"21"
3109,8874,"12"
3110,16135,"12"
3112,18363,"12"
3114,14734,"12"
3117,53150,"21"
3118,80634,"12"
3119,4629,"12"
3121,35084,"21"
3122,25514,"21"
3127,50376,"21"
3128,5150,"12"
3128,8085,"12"
3134,81210,"21"
3139,171,"12"
3140,23850,"21"
3148,13302,"12"
3149,9396,"12"
3154,15393,"12"
3154,44565,"21"
3159,23711,"21"
3174,81405,"21"
3176,15674,"12"
3176,16784,"12"
3180,11750,"12"
3185,57523,"21"
3193,10811,"12"
3195,77485,"21"
3201,66759,"21"
3221,10421,"12"
3226,73004,"21"
3235,5507,"21"
3244,37953,"21"
3252,10440,"12"
3256,993,"12"
3273,49282,"21"
3290,16773,"12"
3290,81878,"12"
3293,35918,"21"
3294,80100,"12"
3294,45963,"21"
3305,38177,"21"
3307,6331,"12"
3311,74368,"12"
3316,24477,"21"
3317,73174,"21"
3320,6074,"12"
3324,16460,"12"
3325,45086,"21"
3327,2240,"12"
3330,37959,"21"
3347,18757,"12"
3348,5277,"12"
3348,12116,"12"
3351,63354,"21"
3353,28918,"21"
3354,10251,"12"
3354,17125,"12"
3355,64708,"21"
3357,29726,"21"
3357,62102,"21"
3362,1628,"12"
3362,73815,"21"
3364,4250,"12"
3370,32333,"21"
3371,52833,"21"
3382,33924,"21"
3385,1976,"12"
3385,11462,"12"
3385,74308,"21"
3391,5571,"12"
3395,12711,"12"
3398,11903,"12"
3401,69209,"21"
3405,18218,"12"
3410,49462,"21"
3412,64742,"21"
3413,14737,"12"
3415,3726,"12"
3415,5518,"12"
3421,3279,"12"
3424,15221,"21"
3437,38797,"21"
3440,75854,"12"
3441,43216,"21"
3444,6478,"12"
3447,42133,"21"
3448,16129,"12"
3449,60821,"21"
3457,17332,"12"
3458,12710,"12"
3459,44024,"21"
3462,4299,"12"
3466,11966,"12"
3466,26591,"21"
3475,41322,"21"
3491,10351,"12"
3494,76612,"21"
3497,11904,"12"
3499,1332,"12"
3499,3177,"12"
3503,13035,"12"
3503,20005,"12"
3505,36340,"21"
3509,35278,"21"
3523,6045,"12"
3524,46139,"21"
3527,58068,"21"
3537,73698,"21"
3539,58053,"21"
3542,7212,"12"
3544,13710,"12"
3545,11790,"12"
3546,31093,"21"
3548,56331,"21"
3552,81067,"12"
3557,54825,"21"
3561,75905,"21"
3565,5822,"12"
3568,4069,"12"
3569,5355,"12"
3570,51551,"21"
3575,73720,"21"
3577,5543,"12"
3580,5659,"12"
3582,22590,"21"
3584,43056,"21"
3591,26569,"21"
3603,29420,"21"
3605,63399,"21"
3606,7611,"12"
3606,13870,"12"
3606,36090,"21"
3611,27511,"21"
3618,54716,"21"
3626,11815,"12"
3628,8656,"12"
3630,8529,"12"
3633,16203,"12"
3634,419,"12"
3635,52976,"21"
3640,17151,"12"
3646,40681,"21"
3648,68933,"21"
3658,64707,"21"
3659,22288,"21"
3668,8023,"12"
3668,67067,"21"
3676,11543,"12"
3677,4910,"12"
3681,12041,"12"
3683,1476,"12"
3693,2738,"12"
3693,49297,"21"
3693,61879,"21"
3701,18855,"12"
3709,59443,"21"
3709,71864,"21"
3712,9360,"12"
3714,3606,"12"
3716,23547,"21"
3717,18214,"12"
3719,52053,"21"
3720,4445,"12"
3725,12661,"12"
3730,11500,"12"
3730,43607,"21"
3733,37129,"21"
3735,3687,"12"
3736,68150,"21"
3738,67920,"21"
3741,19349,"12"
3741,83236,"21"
3742,60411,"21"
3749,35102,"21"
3750,35014,"21"
3750,60561,"21"
3754,13191,"12"
3759,4605,"12"
3759,27237,"21"
3774,46368,"21"
3775,6768,"12"
3775,48637,"21"
3775,76340,"21"
3777,3898,"12"
3787,64379,"21"
3795,28012,"21"
3804,14747,"12"
3805,62382,"21"
3809,19582,"12"
3810,13830,"12"
3831,1034,"12"
3831,29584,"21"
3832,27513,"21"
3834,51867,"21"
3841,46670,"21"
3843,79742,"21"
3847,5654,"12"
3849,31186,"21"
3853,39834,"21"
3859,4311,"12"
3861,75631,"21"
3865,48550,"21"
3867,26329,"21"
3868,10022,"12"
3871,32752,"21"
3886,36472,"21"
3887,4520,"12"
3895,9026,"12"
3899,38497,"21"
3899,51917,"21"
3901,78328,"21"
3908,73280,"21"
3917,12641,"12"
3918,11844,"12"
3922,8321,"12"
3922,11433,"12"
3925,14257,"12"
3925,30090,"21"
3930,37647,"21"
3938,59623,"21"
3938,72761,"21"
3946,44312,"21"
3952,79553,"21"
3952,80278,"21"
3957,54671,"21"
3960,78829,"21"
3965,51796,"21"
3966,75465,"21"
3968,62271,"21"
3979,38145,"21"
3981,56781,"21"
3984,19508,"12"
3986,16643,"12"
3986,20460,"21"
3988,47162,"21"
3990,7671,"12"
3990,81613,"21"
3991,57582,"21"
3993,53460,"21"
4000,29874,"12"
4000,81715,"12"
4001,9779,"12"
4010,9641,"12"
4013,37390,"21"
4013,78154,"21"
4014,35943,"21"
4014,57870,"21"
4025,18121,"12"
4026,17380,"12"
4027,3332,"12"
4030,1547,"12"
4032,7939,"12"
4032,19556,"12"
4039,11083,"12"
4046,56,"12"
4048,4092,"12"
4050,13289,"12"
4052,17223,"12"
4054,70606,"21"
4055,14671,"12"
4055,67337,"21"
4057,36691,"21"
4058,61533,"21"
4061,76241,"21"
4064,8765,"12"
4067,1937,"12"
4071,66921,"21"
4072,8692,"12"
4073,74719,"21"
4079,42750,"21"
4081,24112,"21"
4084,78000,"21"
4092,21927,"21"
4099,8044,"12"
4105,2895,"12"
4105,7206,"12"
4105,16323,"12"
4108,18568,"12"
4118,21506,"21"
4127,14839,"12"
4139,82108,"21"
4140,80066,"21"
4143,1096,"12"
4143,26318,"21"
4159,19059,"12"
4163,4160,"12"
4183,80590,"21"
4185,42467,"21"
4193,49136,"21"
4193,49576,"21"
4195,43932,"21"
4207,1143,"12"
4213,77519,"21"
4217,13369,"12"
4219,8750,"12"
4220,51355,"21"
4224,16520,"12"
4226,7593,"12"
4234,15132,"12"
4235,697,"12"
4237,12401,"12"
4238,4549,"12"
4240,6476,"12"
4253,9196,"12"
4254,17323,"12"
4256,81353,"21"
4262,31336,"21"
4263,18587,"12"
4266,32202,"21"
4272,47675,"21"
4278,66057,"21"
4283,17289,"12"
4283,59944,"21"
4297,12846,"12"
4298,26612,"21"
4298,48934,"21"
4304,14291,"12"
4308,12219,"12"
4312,31513,"21"
4315,36786,"21"
4316,42209,"21"
4319,13553,"12"
4326,18154,"12"
4328,72773,"21"
4329,38564,"21"
4336,83063,"12"
4337,13261,"12"
4340,15032,"12"
4346,22029,"21"
4350,74867,"21"
4351,36744,"21"
4354,28173,"21"
4356,62364,"21"
4363,41349,"21"
4365,48893,"21"
4366,19074,"12"
4368,44420,"21"
4375,3435,"12"
4386,11172,"12"
4393,26350,"21"
4399,17017,"12"
4400,52490,"21"
4413,72106,"21"
4423,12070,"12"
4444,17280,"12"
4445,36876,"21"
4447,18809,"12"
4450,54321,"21"
4452,2656,"12"
4459,4655,"12"
4460,5725,"12"
4463,2470,"12"
4463,14157,"12"
4468,43848,"21"
4469,10133,"12"
4477,38748,"21"
4481,14562,"12"
4482,17417,"12"
4486,9489,"12"
4486,26015,"21"
4502,11629,"12"
4502,15361,"12"
4505,83,"12"
4505,26675,"21"
4509,62146,"21"
4515,79175,"21"
4516,12168,"12"
4518,14119,"12"
4528,6547,"12"
4529,19079,"12"
4531,43460,"21"
4534,64096,"21"
4535,72178,"21"
4536,5585,"12"
4539,39701,"21"
4551,12185,"12"
4552,47097,"21"
4557,3723,"12"
4557,77822,"21"
4565,11461,"12"
4566,47756,"21"
4566,76696,"21"
4575,1429,"12"
4575,57193,"21"
4578,9573,"12"
4578,63891,"21"
4585,80999,"21"
