"time","r0"
5076,5
5076,3
5077,2
5078,1
5080,0
5085,0
5085,0
5089,6
5089,2
5090,4
5096,3
5096,0
5100,1
5102,0
5103,0
5104,1
5107,3
5107,0
5108,2
5108,0
5108,0
5109,0
5113,0
5113,0
5115,0
5116,0
5119,1
5119,0
5119,1
5120,6
5121,0
5122,0
5123,10
5124,3
5126,6
5128,0
5132,0
5133,1
5135,0
5136,0
5139,14
5140,0
5142,1
5142,0
5142,0
5142,8
5147,0
5148,2
5149,4
5153,3
5157,7
5158,0
5158,3
5159,0
5164,0
5166,0
5168,0
5171,0
5172,1
5172,1
5175,0
5175,3
5176,1
5177,3
5181,0
5183,0
5184,1
5185,5
5186,0
5187,0
5188,5
5192,0
5194,1
5195,1
5195,6
5195,12
5197,0
5197,1
5199,1
5200,2
5202,2
5202,0
5203,0
5204,1
5206,2
5206,1
5206,0
5207,0
5208,0
5210,0
5212,1
5212,0
5214,0
5215,1
5217,0
5220,0
5220,2
5223,3
5225,1
5226,1
5227,2
5227,1
5230,0
5235,2
5235,1
5238,1
5241,1
5244,5
5250,1
5252,0
5252,0
5253,0
5255,1
5257,5
5258,0
5259,1
5260,1
5260,0
5261,0
5261,0
5263,0
5263,3
5263,0
5265,2
5266,2
5270,0
5273,2
5274,1
5275,14
5276,1
5277,0
5279,0
5280,0
5285,1
5288,0
5289,1
5289,1
5294,0
5294,0
5294,1
5296,0
5296,0
5296,0
5296,1
5297,0
5300,0
5302,0
5302,0
5303,0
5304,0
5305,0
5311,2
5312,0
5313,5
5316,0
5316,12
5320,0
5321,14
5323,0
5324,0
5327,0
5327,1
5327,0
5329,0
5330,0
5332,0
5333,0
5333,2
5334,0
5335,0
5335,1
5337,2
5337,0
5337,0
5339,9
5344,1
5346,2
5347,4
5347,0
5349,0
5349,0
5350,0
5350,0
5350,0
5350,0
5351,0
5351,0
5356,1
5358,0
5359,0
5360,1
5361,13
5361,2
5363,2
5364,1
5366,1
5375,0
5376,0
5378,0
5378,7
5379,0
5385,0
5391,0
5392,0
5392,0
5393,0
5408,8
5408,6
5409,0
5409,0
5411,0
5411,2
5412,0
5415,0
5416,4
5421,0
5422,0
5422,1
5424,4
5425,21
5428,5
5429,1
5432,13
5432,0
5433,0
5434,0
5436,0
5438,1
5444,0
5445,2
5445,3
5448,5
5449,1
5456,0
5456,2
5459,2
5461,0
5461,4
5462,0
5462,5
5463,0
5464,4
5465,0
5465,3
5465,0
5466,0
5466,1
5467,0
5467,0
5467,1
5468,1
5468,1
5468,9
5471,0
5476,0
5480,2
5482,0
5482,1
5483,0
5484,2
5485,2
5485,1
5486,0
5487,0
5487,0
5488,1
5490,0
5491,0
5492,0
5492,3
5493,0
5494,1
5496,0
5496,1
5497,0
5498,0
5500,1
5501,0
5502,1
5502,0
5505,3
5506,1
5509,1
5513,0
5514,2
5519,3
